
2022/07/06 (17:51:17) | ===> btop++ v.1.2.8
2022/07/06 (17:51:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/07/06 (17:51:18) | WARNING: Failed to join _runner thread on exit!

2022/07/06 (17:53:21) | ===> btop++ v.1.2.8
2022/07/06 (17:53:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/06 (17:53:44) | ===> btop++ v.1.2.8
2022/07/06 (17:53:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/06 (17:54:10) | ===> btop++ v.1.2.8
2022/07/06 (17:54:10) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/06 (17:54:31) | ===> btop++ v.1.2.8
2022/07/06 (17:54:31) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/07/06 (17:54:33) | WARNING: Failed to join _runner thread on exit!

2022/07/06 (17:54:40) | ===> btop++ v.1.2.8
2022/07/06 (17:54:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/06 (18:02:26) | ===> btop++ v.1.2.8
2022/07/06 (18:02:26) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/06 (18:04:56) | ===> btop++ v.1.2.8
2022/07/06 (18:04:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/06 (18:10:24) | ===> btop++ v.1.2.8
2022/07/06 (18:10:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/06 (20:00:43) | ===> btop++ v.1.2.8
2022/07/06 (20:00:43) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/07/06 (21:02:17) | WARNING: Failed to join _runner thread on exit!

2022/07/07 (19:26:44) | ===> btop++ v.1.2.8
2022/07/07 (19:26:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/07/07 (19:26:56) | WARNING: Failed to join _runner thread on exit!

2022/07/07 (19:28:44) | ===> btop++ v.1.2.8
2022/07/07 (19:28:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/07/09 (17:27:28) | ===> btop++ v.1.2.8
2022/07/09 (17:27:28) | WARNING: Failed to join _runner thread on exit!

2022/07/10 (03:13:16) | ===> btop++ v.1.2.8
2022/07/10 (03:13:16) | WARNING: Failed to join _runner thread on exit!

2022/07/10 (17:49:04) | ===> btop++ v.1.2.8
2022/07/10 (17:49:04) | WARNING: Failed to join _runner thread on exit!

